Name,review,comment,reviews number,review date,likes number
Bashah Ahmad,5 stars,Modern and hi-tech Clean..easy access Disable were attended very carefully. Helpful staff usherring us to be in the proper place Counter checkin very friendly and cheerful somemore very understanding and spoke little English ..its quiet good for us who can only understand English.,143 reviews,4 months ago,1
Rizky J. Putri,4 stars,"The airport was so huge! The facility was good but no electricity port for charging your phone. It was only in gate 12. This airport has prayers room, but you meed to take your own hijabi. The gate quite far from oje to each other. Inguess they has more than 50 gates in whole. For you who have hajj/umrah visas, you can bring zamzam water 5liter max each person. You can buy it in Kiosk Zamzam beetween B2 C1 gate door for 8,5 SAR. It’s free baggage for all aircraft, perhaps.",130 reviews,a month ago,
Abdullah Shahid,3 stars,"They have opened the airport, build a nice and beautiful airport but it remains one of the worst in terms of service. No online check-ins accepted. You have to queue up for the boarding pass. Don't know in which age they are living. Can't handle the customers. Bad attitude, slow service. They can't handle airbus 380 passengers who were all queued up for more than 1 hour. And believe me, there is no internet at the airport. Zamzam is available at the counter near terminal C. Another good thing is that Harmain train terminal connects you to Makkah madina and Jeddah.",191 reviews,5 months ago,2
reza pradipta,4 stars,"This is a huge and new airport. After you finish your check in the airlines counter, you need to use the train to go to the boarding gate. You can find restaurant in the second floor. There also a ftee wifi you can use with 1 hour limit by provide your phone number to get the OTP password.  Bandaranya baru, gede. Tempat makan ada di lantai paling atas. Bisa dapet free wifi buat 1 jam dgn input nomer telepon, nanti bakal dikirim kode OTP buat password.",88 reviews,a month ago,
Prince Rozario,5 stars,Not too crowded. Very neat. Place has everything you would expect in an airport.  They have a garden as well inside the airport,106 reviews,9 months ago,2
Rida Bilal,5 stars,"Huge airport, very clean Good management. The amazing thing was the aquarium, which is one of the largest aquarium. Very scenic",61 reviews,2 months ago,
Ammar Lol,4 stars,"It was okay, walking from the plane to the bagge calim is quite adistance but lucjy got travelator. Not much food, variaciant but we ate al baik. It took some time to get our food because its peak hour",81 reviews,3 months ago,
A H Milon,5 stars,Alhamdulillah.. 3rd Country I’ve visit in my entire life.. It’s very beautiful Country. And Airport is just wow.. I’ve land here with my right lag ..haha .. This country is most important for me and also for Muslim . Emigration Officers are very professional.. and I think this is most busy airport but Service is very well .. thanks Airport authority ..,96 reviews,11 months ago,1
MUHAMMAD MANSOOR ISMAIL (Mansoor),3 stars,It's newly built airport terminal. I was transiting from this airport to and from Pakistan. It is an state of the art construction with multiple terminals and many gates. Baggage service is good but it needs to manually transfer by the passengers to nearby Baggage drop area. Also some of the services like bus transfer from terminal to aircraft is a tedious process specially when you are travelling with family 👪.,415 reviews,a year ago,8
Syeda Fariha,5 stars,"Great decoration and convenient for travelers. You will get a varities of food (prices bit high), mobile carrier, money exchange, mosque, convinient store and haramain train. All necessary facilities are accessible. Clean and organized.",136 reviews,3 months ago,
S B,4 stars,The airport is newly built which is as good as any modern airport. I liked it and looks amazing.,951 reviews,2 months ago,
Fasy Ismail,5 stars,"King Abdulaziz International Airport (KAIA) is a large airport located in Jeddah, Saudi Arabia. It is the main airport serving the city and the surrounding region. The airport has undergone significant expansion and modernization in recent years. The airport is clean, well-maintained, and easy to navigate. The staff are friendly and helpful. It has multiple lounges for travelers to relax, eat and drink. The airport also has a good selection of duty-free shops and other retail outlets. Additionally, the airport has good transportation options to and from the airport, including taxis, buses, and car rentals. Overall, KAIA is a modern and efficient airport that provides a comfortable and enjoyable experience for travelers. On arrival you've lots of options if you want buy SIM cards.",176 reviews,2 months ago,
Dr Mohammed Samees,3 stars,"The infrastructure of this airport is amazing, with its huge area and beautiful aquariums. But the services aren’t the best. The immigration process is so horrifying with huge queues. There were many travelers that broke the queue and went ahead and there was no one to control this. The immigration process took roughly more than an hour.",166 reviews,4 months ago,
Irshad Baig,4 stars,A very beautiful airport. All fasciitis are available but airport is too far from city areas. Out Look of airport is beautiful and different. Inside is also with a different view and beautiful.,208 reviews,3 weeks ago,1
Sujan Prodhan,3 stars,No enough information staff not have any idea about what going on in airport.Airport management need to train your airpot staff on how to use behavior with passenger. Learn how to help passengers.,77 reviews,6 months ago,2
Vidal Ferreira,4 stars,"Wow! Saudi stepping up its game. Brand new airport, well-designed and they have a gigantic aquarium inside. Parking still very middle-eastern like. Watch it Dubai.",157 reviews,3 months ago,
Sudhakar Chaudhary,4 stars,"Nice, clean and quick check-ins/security check/immigration. On of the best airport I have visited. The only problem I faced is that sometimes the luggage takes too much to come.",43 reviews,2 months ago,
Adnan S,5 stars,"It was amazing to be honest, the new airport felt refreshing and it's pretty modern and breathtaking, well, this is a LOT better than the previous airport and is an improvement in every possible way  You do have to walk longer tho, but it's fine, because there are trains and those walking belts, it was a nice experience  One of the biggest advantage was the fact that you can directly board the flight from the airport wirhough having to go on a bus.",26 reviews,a year ago,7
Nael Alqtati,5 stars,"Very nice, clean and full of facilities that make travelling through the airport a very delightful experience.",35 reviews,2 months ago,
Ammar Hasanie,3 stars,Flew from this airport few days back and checked in early thinking shall buy some zam zam water and eat there. They did not allow us to buy water from airport as the embassy put tourist visa instead of umrah dispute us applying for umrah. The airport is new but feels empty and nothing much to do. Limited eating places also. Staff are friendly but God help you if you have a lay over longer the two hours. The airport is small and boring and I guess opened to early as construction work is still ongoing. I guess if going for Umrah one has no choice. They should allow passengers that have preformed umrah to take some water back. We should be allowed 5l per passenger and we were six but did not even allow one. Best is buy outside and pack in your own bags and don’t risk buying from the airport as they sell depending on there mood. The officials just make stuff up as they seem fit as I have experienced on my visit. SAudi has a long way to go yet to make international travellers feel safe and at home. Another main POINT NO WORKING WIFI🤨. The kids went ballistic as it was just impossible to connect to there so called free WiFi unless you have a local number or are on roaming! Why make it so hard? 4 hours at the airport with young children and no WiFi just imagine 🙈,128 reviews,2 months ago,1
Ibrahim Fahad,4 stars,It is good.. Well organized..  They provide best services...  Taxi charged me very high...,368 reviews,5 months ago,
Akbarally Hossenally,5 stars,"Awesome! Breathtaking! Wow. What a great, beautiful, clean and user friendly airport.",173 reviews,2 months ago,1
Omer Mohamed,4 stars,"Haven’t visited the place in a couple of years but was coming for a 1-day visit to Jeddah & Mecca! Have to admit the improvements have been GREAT! Faster passport control, professional check-in staff, excellent wide spaces…the one thing to remind ourself is that In the older airport the walk past passport control could’ve barely been 10 mins whereas the walk right now can easily reach 25 mins so be aware of this! Enjoy Saudi!",83 reviews,3 months ago,
Efe A,5 stars,"Terminal 1 is from 2019, beautifully architected and spacious. I loved it’s Islamic design patterns.",168 reviews,2 months ago,
vincentius yongki,4 stars,"Spacious waiting area with many restaurants during transit or waiting next flight, but as other moslem country, the duty free shops dont sell alcohol beverages",503 reviews,8 months ago,1
Zubaer Islam,5 stars,"One of the gorgeous, busy and biggest airport in the world. It has full of It's facilities.",61 reviews,10 months ago,1
Chuang Chee Teoh,5 stars,"The airport is big, new, advanced and convenient. But one thing, both the new and old airports are with the same name but they are very far apart, so when going to airport with taxi or uber has to be very specify about the terminal, the new airport is terminal one. Especially in uber if just click on King Abdulaziz airport it send you to the old airport, it just happened to me and costs me 150 for taxi to come to the new airport",53 reviews,2 months ago,
Captain T,1 star,"The control tower has a nice design, but that's all there's to it...  Rude and incompetent staff.  The incompetent niqab-veiled woman at security didn't dare to touch a man to check his pockets. Had to put my cash money in an empty tray with nothing to put on top of it... The x-ray machine's curtains then proceeded to take most of my cash out of the tray. Upon mentioning it, they just said it wasn't possible... I saw it happen myself.  A situation of thievery due to having incompetent employees unsuitable for their jobs!  The airport shows it has free WiFi, you'll have to register with your phone number for access to the Free WiFi, the code however will never arrive, so don't bother...  In the future I will definitely be avoiding this airport!",25 reviews,a month ago,5
SEFIAN ABDALMAGEED,5 stars,"Nice airport, the new terminals are elegant, better than the old terminals Everything is better",38 reviews,3 months ago,
Luthfi Kautsar,5 stars,A new gigantic airport with exellent maintenance. Sufficient visit experience with the indoor aquarium as its main attraction.,5 reviews,a month ago,
Manzoor Wani,1 star,"One of the worst airports I have been to so far in terms of customer service. I came for Umrah and found it unbearable to stay in luggage claim area. It was extremely hot and humid with Air Conditioning not working. The whole luggage claim area has only a couple of restrooms each for men and women. Immigration queues had quite an awful wait time. At departures, the passengers are forced to wait outside the airport premises on bare ground if they arrive a few hours earlier. WiFi is even worse! It asks for mobile number to receive a code which never arrives. Staff is not any better in helping you with what they are there for.",23 reviews,4 months ago,5
Alexander,2 stars,"If airport staff force passengers to take off their shoes, they must provide shoe covers. The staff is rude.  Internet is limited, not always connected. Of the good - a large aquarium.",13 reviews,4 months ago,
Mohamed Ihab Ismail,5 stars,"Brilliant airport, sparkling clean, great facilities, and the service drastically improved, i used to dread landing in jeddah, now I like look forward to the next trip.",34 reviews,6 months ago,
Ibrahimsyah Zairussalam,5 stars,"So clean, the facilities and services are very well. There are a lot of officers will guide us to go to any places",58 reviews,3 months ago,1
Rhyouna,4 stars,"It's a big airport, we once got lost in here finding our gate that cause us to missed our flight 🤦‍♀️😅  The only concern is riding the bus going to the plane. Travellijg with a baby and have to carry the hand carry luggage is hard 😅",54 reviews,a month ago,
Eman Medhat Ellewah,5 stars,Very nice Architecture design of airport Fantastic interior design of Al Forsan Lounge,28 reviews,3 months ago,
abdulaziz-t almathami,4 stars,"This airport is the most important in Saudi airports, as it is the main center and operations center of Saudi Arabian Airlines, and it is the gate of Mecca Air, through which all pilgrims and pilgrims reach the Grand Mosque in Mecca. It also includes the fourth largest passenger hall in the world, the pilgrims hall, with an area of 465,000",291 reviews,6 months ago,1
Timothious Pope,4 stars,"It is new airport, very big and beautiful, there is room for improvements though, the airport has wifi but you must have a Saudi mobile number to access, information counters don't understand English and they are not well trained, the customer service is not up to the mark",214 reviews,a month ago,
Moeen Fruitwala,4 stars,I like the over all experience at the airport the ladies and gentlemen both are extremely goood .. I only have one problem that there is no zam zam allowed for business visa holders and residence visa holders.,64 reviews,7 months ago,1
Salman Mughal,5 stars,"Beautiful, most advanced, and latest style airport. I would love to be there again.",34 reviews,2 months ago,
Nooruddin Siddiqui,3 stars,I came india from this airport. Its too busy place coz all airbus departure and arrival there. 3 Toilets only not good experience.,214 reviews,a year ago,3
Salman Zahid,5 stars,"Super clean premises & State of the art facilities, swift processing, helpful and professional staff with knowledge and skills. Travelers can navigate easily within the premises for domestic and international flights. Dedicated attendants for elderly and disable persons. Mobile medical facilities available in case of any emergency. Wheel chair access available both within airport premises and parking area. Parking payment machines are installed within parking area which charge half the amount rather than those machines installed outside at the exit roads, it is advisable to pay inside to save money for same duration of time.",18 reviews,2 months ago,
lili rusdiana,5 stars,"Great system, friendly services, thanks a lot for kindly help my parent boarding proceses 👍👍🙏🙏🙏 …",71 reviews,a month ago,
Umair Anees,5 stars,Very long airport had to walk very much but very nice place,40 reviews,9 months ago,
SAIF NEWAZ,5 stars,King Abdul Aziz International Airport is beautiful and big. There service is too good.,154 reviews,8 months ago,1
Yugal Nagda,5 stars,Very modern airport.  Connection were easy. Very well designed.,300 reviews,3 months ago,
Subhana khan,5 stars,"A massive airport, built to handle millions of passengers. The busiest airport in the kingdom. Nice architecture. Clean . Well managed and maintained. Efficient security and immigration. There are three major areas. Domestic, international and Haj. In Domestic and international,   so many services and facilities, restaurants and Cafe's, children play areas, gift and souvenir shops, ATM'S, luxury brands, hotel, lounges, and much more. Comfortable and clean seating in waiting areas.",10 reviews,3 weeks ago,1
muhamad suhail,5 stars,It’s good 👍 new airport but very expensive like Ajwa Dates we can get for around 50 SAR one Kg At the airport it’s 129 SAR …,149 reviews,4 months ago,
Mohamed Badr,5 stars,"Great airport. Very new and modern. Checkin process is usually very fast, even with bags.  Passport control is fast and efficient.  There are many stores in the airport, pharmacies, electronics, gifts, chocolates, perfumes and more.  It has become one of my favorite airports in the region.",311 reviews,a month ago,
Dr. Mahendra Maheta,3 stars,Very crowded and bit mis managed which you may not find in Riyadh Int Airport. Not so supportive staff.,236 reviews,a month ago,1
Sami Jabr,4 stars,"Beautiful airport, way better than the old one, signs are everywhere nice Aquarium and it includes a station for Alharmeen Railway to makkah and Madienah",320 reviews,3 months ago,
AB From BKNY,5 stars,Very clean and new airport. Easy to navigate and has variety of things to do.,23 reviews,2 weeks ago,1
Rameez Rmz,5 stars,Huge Airport Attractive Easy Access + Metro service ( inside ) Duty Free 💫 …,28 reviews,2 months ago,
Mohammed Ali Sattar,1 star,Lot needs to be improved on the cultural and passenger quality .. supervisors at guest service area are best in doing nothing. We figured  out ways to gate ourself. If you have such staff who don't have passion to serve people then very soon they will rotten up the whole system and people would end up ignoring the efforts on infrastructure. Guest service supervisors need to replaced or trained to deliver passenger satisfaction.,3 reviews,a week ago,2
Shabi Rizvi,3 stars,Expansive structure.. they are gettin better at handling bigger crowds. Service getting friendlier,339 reviews,4 months ago,
Mishel Akbar,1 star,"The airport experience was great. But I lost my wallet at the airport, tried calling and trying to get a hold of someone who could locate it (and I could pay to ship it back here to the US) but they said their lost and found has NO number. Asked me to come to Jeddah and get it (seriously?) Definitely need better list and found services.",3 reviews,a week ago,
Usamah Al-Hussaini,5 stars,Brilliant airport. One of the best. Still amazing experience.,225 reviews,9 months ago,
aréf,5 stars,Huge modern airport with a speed train station directly to Mecca and Medinah,123 reviews,11 months ago,
Nasim Shaikh,5 stars,Beautiful new airport Saudi Arabia 🇸🇦 is the best this is jeddah new airport …,150 reviews,a year ago,1
Moon Moon,5 stars,"With new construction, metro addition it got way better , beautiful structure",288 reviews,5 months ago,
mehd “mehd” m,3 stars,Difficult to park a car and it’s far not accessible. But the structure is huge and spacious with modern design but personally I love the old airport very accessible to all.,51 reviews,4 months ago,
Vicky Handoko,4 stars,"BIG & good airport, but maybe need a chair or sofa for child & parents for waiting",70 reviews,2 months ago,
Hermansyah Andi Wibowo,5 stars,I'm happy to be here.  I love being close to the Prophet Muhammad SAW.  I hope we will be invited by the God here again.  Amen. This  airport are the new one. This airport is the first airport that will be the start of our return journey to Indonesia.  From Jeddah we went to Abu Dhabi airport for transit to a bigger plane.,155 reviews,4 months ago,1
zulqarnain iqbal,3 stars,Need to place more guide boards and appoint more trained staff on every counter,93 reviews,3 months ago,
Akhtar Hussain,4 stars,"The airport has changed drastically compared to the old airport it looks so much better. Everything is a lot smoother, there are staff designated to helping visitors and staff in general are a lot friendlier it has become very efficient. There are a few issues that need pointing out one is that there needs to be better management of lines and the worst part and potentially dangerous part are the illegal unlicensed taxi drivers. You would be ambushed by them offering you low prices to take you to Makkah, beware of these guys I’ve heard of horror stories, people being left stranded with their possessions taken. I myself was naive enough to get in one and the driver kept stopping in the middle of the highway and demanding for more money or threatened to kick us out the car. I think they should have some sort of police presence to kick these people out of the airport.",12 reviews,4 months ago,
Karim Tamimi,2 stars,"Good infraestructure, but too slow and there is a high chance you'll miss your flight if you have 2h of transit time or less, not enough (and this is not during haj). Make sure to have long transit time to be able to catch your flight. The place is still not up to the necessary speed for the high number of travellers and pilgrims.",11 reviews,3 months ago,
Abdullah M,5 stars,"Returned here after a gap of 11 years. It's got better. The huge multi floor water tank has sharks, sting rays and all sorts of fishes. At the arrival exit one can have food from various fast food chains here.",123 reviews,3 months ago,
Mohammed Rafeeq,5 stars,Very very beautiful and gorgeous interior of the airport and very good atmosphere,110 reviews,11 months ago,1
Abah Gustaman,5 stars,"Newest airport, feel the modern n internasional atmosphere departure",907 reviews,10 months ago,
Louie Enriquez Gomez,4 stars,It is HUGE. But I didn't see charging port in the passenger lounge.,191 reviews,5 months ago,
Dana Abdul,4 stars,Clean and safe and not too big..a lot more organized than before,261 reviews,3 months ago,2
SHINTANA,5 stars,Such a massive place. The place is nice and the staff are friendly,30 reviews,a month ago,
Sandeep Gandotra,5 stars,"It’s nice. Good lounges. Albeit regards to shopping, there aren’t many labels present but it’s a decent setup alongwith aero hotel.  Would prefer if lounges have shower areas as well for long transit wait time passengers though. Extremely neat and tidy place.",95 reviews,2 months ago,
Coach Zaim Mantol Millioanaire Dato Aliff Syukri,5 stars,"Nice Airport, excellent Service! Superb",12 reviews,a month ago,1
Irfan Rasheed,5 stars,New build airport is way better than the old one. ALBAIK kfc Mc all there and good shopping experience,78 reviews,3 months ago,
sandeep sc,4 stars,Airport seems to be quite good it's big. Custom duty free shops can be found liquor shops are not available. Most of them are visiting to Mecca i hope so. Saudi flights are religion specific which is not good i mean to say when ever they give some information they go with religious note which can be avoided.,380 reviews,3 months ago,1
